Compound_ID,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Assay ChEMBL ID,Target ChEMBL ID,n_isomers
CHEMBL601688,CC1CCCN(C2CC(C(=O)NC(Cc3ccc(NC(=O)c4c(Cl)cncc4Cl)cc3)C(=O)O)N(S(=O)(=O)c3cccc(C#N)c3)C2)C1,IC50,=,0.13,nM,9.89,CHEMBL1074813,CHEMBL278,16
CHEMBL601896,CC1CCN([C@@H]2C[C@@H](C(=O)N[C@@H](Cc3ccc(NC(=O)c4c(Cl)cncc4Cl)cc3)C(=O)O)N(S(=O)(=O)c3cccc(C#N)c3)C2)CC1,IC50,=,0.16,nM,9.8,CHEMBL1074813,CHEMBL278,1
CHEMBL589558,CC1CC(C)CN(C2CC(C(=O)NC(Cc3ccc(NC(=O)c4c(Cl)cncc4Cl)cc3)C(=O)O)N(S(=O)(=O)c3cccc(C#N)c3)C2)C1,IC50,=,0.14,nM,9.85,CHEMBL1074813,CHEMBL278,24
CHEMBL589750,CC1(C)CCCN([C@@H]2C[C@@H](C(=O)N[C@@H](Cc3ccc(NC(=O)c4c(Cl)cncc4Cl)cc3)C(=O)O)N(S(=O)(=O)c3cccc(C#N)c3)C2)C1,IC50,=,0.16,nM,9.8,CHEMBL1074813,CHEMBL278,1
CHEMBL1223918,O=C(Nc1ccc(C[C@H](NC(=O)[C@@H]2OCO[C@H]2C(=O)Nc2ccccc2-c2ccccc2)C(=O)O)cc1)c1ccccn1,IC50,=,8300.0,nM,5.08,CHEMBL1226015,CHEMBL278,1
CHEMBL1223916,O=C(Nc1ccc(C[C@H](NC(=O)[C@@H]2OCO[C@H]2C(=O)Nc2ccccc2-c2ccccc2)C(=O)O)cc1)c1ccncc1,IC50,=,2700.0,nM,5.57,CHEMBL1226015,CHEMBL278,1
CHEMBL1223919,O=C(Nc1ccc(C[C@H](NC(=O)[C@@H]2OCO[C@H]2C(=O)Nc2ccccc2-c2ccccc2)C(=O)O)cc1)c1cccnc1,IC50,=,9500.0,nM,5.02,CHEMBL1226015,CHEMBL278,1
CHEMBL1223920,O=C(Nc1ccc(C[C@H](NC(=O)[C@@H]2OCO[C@H]2C(=O)Nc2ccccc2-c2ccccc2)C(=O)O)cc1)c1cc(Cl)nc(Cl)c1,IC50,=,6300.0,nM,5.2,CHEMBL1226015,CHEMBL278,1
CHEMBL1223921,O=C(Nc1ccc(C[C@H](NC(=O)[C@@H]2OCO[C@H]2C(=O)Nc2ccccc2-c2ccccc2)C(=O)O)cc1)c1c(Cl)cccc1Cl,IC50,=,100.0,nM,7.0,CHEMBL1226015,CHEMBL278,1
CHEMBL1223922,O=C(Nc1ccc(C[C@H](NC(=O)[C@@H]2OCO[C@H]2C(=O)Nc2ccccc2-c2ccccc2)C(=O)O)cc1)c1ccccc1,IC50,=,9000.0,nM,5.05,CHEMBL1226015,CHEMBL278,1
CHEMBL1223923,COc1ccccc1C(=O)Nc1ccc(C[C@H](NC(=O)[C@@H]2OCO[C@H]2C(=O)Nc2ccccc2-c2ccccc2)C(=O)O)cc1,IC50,=,6300.0,nM,5.2,CHEMBL1226015,CHEMBL278,1
CHEMBL1223924,O=C(O)[C@H](Cc1ccc(OCc2c(F)cccc2F)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)Nc1ccccc1-c1ccccc1,IC50,=,7900.0,nM,5.1,CHEMBL1226015,CHEMBL278,1
CHEMBL1223925,O=C(O)[C@H](Cc1ccc(OCc2ccccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)Nc1ccccc1-c1ccccc1,IC50,=,8700.0,nM,5.06,CHEMBL1226015,CHEMBL278,1
CHEMBL1223926,O=C(O)[C@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)Nc1ccccc1-c1ccccc1,IC50,=,500.0,nM,6.3,CHEMBL1226015,CHEMBL278,1
CHEMBL1223927,O=C(O)[C@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)NC1CCCCC1,IC50,=,1400.0,nM,5.85,CHEMBL1226015,CHEMBL278,1
CHEMBL1223928,CNC(=O)[C@@H]1OCO[C@H]1C(=O)N[C@@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)C(=O)O,IC50,=,1200.0,nM,5.92,CHEMBL1226015,CHEMBL278,1
CHEMBL1224045,CCNC(=O)[C@@H]1OCO[C@H]1C(=O)N[C@@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)C(=O)O,IC50,=,2100.0,nM,5.68,CHEMBL1226015,CHEMBL278,1
CHEMBL1224046,CCCCNC(=O)[C@@H]1OCO[C@H]1C(=O)N[C@@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)C(=O)O,IC50,=,1500.0,nM,5.82,CHEMBL1226015,CHEMBL278,1
CHEMBL1224047,CC(C)CCNC(=O)[C@@H]1OCO[C@H]1C(=O)N[C@@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)C(=O)O,IC50,=,1100.0,nM,5.96,CHEMBL1226015,CHEMBL278,1
CHEMBL1221437,CCCCCCCNC(=O)[C@@H]1OCO[C@H]1C(=O)N[C@@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)C(=O)O,IC50,=,4400.0,nM,5.36,CHEMBL1226015,CHEMBL278,1
CHEMBL1224113,CN(C)C(=O)[C@@H]1OCO[C@H]1C(=O)N[C@@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)C(=O)O,IC50,=,1500.0,nM,5.82,CHEMBL1226015,CHEMBL278,1
CHEMBL1224114,CC(C)NC(=O)[C@@H]1OCO[C@H]1C(=O)N[C@@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)C(=O)O,IC50,=,6600.0,nM,5.18,CHEMBL1226015,CHEMBL278,1
CHEMBL1224115,CC(C)(C)NC(=O)[C@@H]1OCO[C@H]1C(=O)N[C@@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)C(=O)O,IC50,=,1200.0,nM,5.92,CHEMBL1226015,CHEMBL278,1
CHEMBL1224116,O=C(O)[C@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)NC1CC1,IC50,=,300.0,nM,6.52,CHEMBL1226015,CHEMBL278,1
CHEMBL1224117,O=C(O)[C@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)Nc1nc2ccccc2s1,IC50,=,600.0,nM,6.22,CHEMBL1226015,CHEMBL278,1
CHEMBL1224183,O=C(O)[C@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)NCc1cccs1,IC50,=,700.0,nM,6.16,CHEMBL1226015,CHEMBL278,1
CHEMBL1224184,O=C(O)[C@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)NCCc1c[nH]c2ccccc12,IC50,=,600.0,nM,6.22,CHEMBL1226015,CHEMBL278,1
CHEMBL1224185,O=C(O)[C@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)NCc1ccc2OCOc2c1,IC50,=,3000.0,nM,5.52,CHEMBL1226015,CHEMBL278,1
CHEMBL1224186,O=C(O)[C@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)Nc1ccccc1F,IC50,=,600.0,nM,6.22,CHEMBL1226015,CHEMBL278,1
CHEMBL1224187,O=C(O)[C@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)Nc1ccccc1Cl,IC50,=,700.0,nM,6.16,CHEMBL1226015,CHEMBL278,1
CHEMBL1224256,O=C(O)[C@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)Nc1ccc(Cl)cc1,IC50,=,2800.0,nM,5.55,CHEMBL1226015,CHEMBL278,1
CHEMBL1224257,COc1ccccc1NC(=O)[C@@H]1OCO[C@H]1C(=O)N[C@@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)C(=O)O,IC50,=,600.0,nM,6.22,CHEMBL1226015,CHEMBL278,1
CHEMBL1224258,O=C(O)[C@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)Nc1ccccc1,IC50,=,1500.0,nM,5.82,CHEMBL1226015,CHEMBL278,1
CHEMBL1224259,O=C(O)[C@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)Nc1ccccc1C(F)(F)F,IC50,=,900.0,nM,6.05,CHEMBL1226015,CHEMBL278,1
CHEMBL1224337,O=C(O)[C@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)Nc1nccs1,IC50,=,200.0,nM,6.7,CHEMBL1226015,CHEMBL278,1
CHEMBL1224338,Cc1nnc(NC(=O)[C@@H]2OCO[C@H]2C(=O)N[C@@H](Cc2ccc(OCc3c(Cl)cccc3Cl)cc2)C(=O)O)s1,IC50,=,1500.0,nM,5.82,CHEMBL1226015,CHEMBL278,1
CHEMBL1224339,O=C(O)[C@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)Nc1c(F)cccc1F,IC50,=,500.0,nM,6.3,CHEMBL1226015,CHEMBL278,1
CHEMBL1224418,O=C(O)[C@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)Nc1c(Cl)cccc1Cl,IC50,=,700.0,nM,6.16,CHEMBL1226015,CHEMBL278,1
CHEMBL1224419,O=C(O)[C@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)Nc1c(Cl)cncc1Cl,IC50,=,400.0,nM,6.4,CHEMBL1226015,CHEMBL278,1
CHEMBL1224420,CC(C)(C)c1nn(Cc2ccccc2)c(NC(=O)[C@@H]2OCO[C@H]2C(=O)N[C@@H](Cc2ccc(OCc3c(Cl)cccc3Cl)cc2)C(=O)O)c1,IC50,=,1000.0,nM,6.0,CHEMBL1226015,CHEMBL278,1
CHEMBL1224421,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)[C@@H]2OCO[C@H]2C(=O)N[C@@H](Cc2ccc(OCc3c(Cl)cccc3Cl)cc2)C(=O)O)cc1,IC50,=,2600.0,nM,5.58,CHEMBL1226015,CHEMBL278,1
CHEMBL1224422,O=C(O)[C@H](Cc1ccc(OCc2c(Cl)cccc2Cl)cc1)NC(=O)[C@@H]1OCO[C@H]1C(=O)N1CCOCC1,IC50,=,3400.0,nM,5.47,CHEMBL1226015,CHEMBL278,1
